ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
142,Deutscher Werkbund,,library of congress name authority file,Deutscher Werkbund,http://id.loc.gov/authorities/names/n50065876
144,"Nicholas Roerich Museum (New York, N.Y.)",,library of congress name authority file,"Nicholas Roerich Museum (New York, N.Y.)",http://id.loc.gov/authorities/names/n87143306
149,Eisenman Architects,,library of congress name authority file,Eisenman Architects,http://id.loc.gov/authorities/names/n91123614
150,British Museum,,library of congress name authority file,British Museum,http://id.loc.gov/authorities/names/n79107735
151,Ayasofya Müzesi,,library of congress name authority file,Ayasofya Müzesi,http://id.loc.gov/authorities/names/n79058868
152,Harvard University. Graduate School of Design,,library of congress name authority file,Harvard University. Graduate School of Design,http://id.loc.gov/authorities/names/n79107884
153,Washington Cathedral,,library of congress name authority file,Washington Cathedral,http://id.loc.gov/authorities/names/n79058423
155,Banyan Press,,library of congress name authority file,Banyan Press,http://id.loc.gov/authorities/names/n88045032
156,Bennington College,,library of congress name authority file,Bennington College,http://id.loc.gov/authorities/names/n80103752
157,Betty Parsons Gallery,,library of congress name authority file,Betty Parsons Gallery,http://id.loc.gov/authorities/names/n88611780
158,Gotham Book Mart,,library of congress name authority file,Gotham Book Mart,http://id.loc.gov/authorities/names/n50071766
159,Grolier Club,,library of congress name authority file,Grolier Club,http://id.loc.gov/authorities/names/n80085246
160,Jargon Society,,library of congress name authority file,Jargon Society,http://id.loc.gov/authorities/names/n83190457
161,New York Public Library,,library of congress name authority file,New York Public Library,http://id.loc.gov/authorities/names/n79033065
162,Elmer Holmes Bobst Library,,library of congress name authority file,Elmer Holmes Bobst Library,http://id.loc.gov/authorities/names/n86863821
163,Stinehour Press,,library of congress name authority file,Stinehour Press,http://id.loc.gov/authorities/names/n85349186
164,"Living Theatre (New York, N.Y.)",,library of congress name authority file,"Living Theatre (New York, N.Y.)",http://id.loc.gov/authorities/names/n50051175
166,Edizioni futuriste di Poesia,,library of congress name authority file,Edizioni futuriste di Poesia,http://id.loc.gov/authorities/names/no2009206122
169,Abdullah frères,,library of congress name authority file,Abdullah frères,http://id.loc.gov/authorities/names/no98113334
170,Apollon (Firm),,library of congress name authority file,Apollon (Firm),http://id.loc.gov/authorities/names/no2010101417
172,Mandrágora (Group),,library of congress name authority file,Mandrágora (Group),http://id.loc.gov/authorities/names/n95097127
173,Phaidon Press,,library of congress name authority file,Phaidon Press,http://id.loc.gov/authorities/names/n88072135
174,Barnard College,,library of congress name authority file,Barnard College,http://id.loc.gov/authorities/names/n79065105
175,Carnegie Museum of Art,,library of congress name authority file,Carnegie Museum of Art,http://id.loc.gov/authorities/names/n88065070
178,"Columbia College (New York, N.Y.)",,library of congress name authority file,"Columbia College (New York, N.Y.)",http://id.loc.gov/authorities/names/n84136055
179,Dorotheum (Firm),,library of congress name authority file,Dorotheum (Firm),http://id.loc.gov/authorities/names/n83214362
180,"Galerie Meissner (Zurich, Switzerland)",,library of congress name authority file,"Galerie Meissner (Zurich, Switzerland)",http://id.loc.gov/authorities/names/n85287551
182,Heim Gallery,,library of congress name authority file,Heim Gallery,http://id.loc.gov/authorities/names/n50065712
183,Historians of Netherlandish Art,,library of congress name authority file,Historians of Netherlandish Art,http://id.loc.gov/authorities/names/nr92006392
185,National Gallery of Art (U.S.),,library of congress name authority file,National Gallery of Art (U.S.),http://id.loc.gov/authorities/names/n79054426
186,Newhouse Galleries,,library of congress name authority file,Newhouse Galleries,http://id.loc.gov/authorities/names/n86812407
187,"Norton Simon, Inc. Foundation ",,library of congress name authority file,"Norton Simon, Inc. Foundation ",http://id.loc.gov/authorities/names/no2011010694
188,Pierpont Morgan Library,,library of congress name authority file,Pierpont Morgan Library,http://id.loc.gov/authorities/names/n78095799
189,Ponce Art Museum,,library of congress name authority file,Ponce Art Museum,http://id.loc.gov/authorities/names/n85007594
190,Princeton University Press,,library of congress name authority file,Princeton University Press,http://id.loc.gov/authorities/names/n80137807
