ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri,New_ID
298,Cornell University Press,,,Cornell University Press,http://id.loc.gov/authorities/names/no2013063402, 1505
299,Pantheon Books,,library of congress name authority file,Pantheon Books,http://id.loc.gov/authorities/names/n83139886, 1506
300,Sansoni (Firm),,library of congress name authority file,Sansoni (Firm),http://id.loc.gov/authorities/names/n81041917, 1507
301,University of California Press,,library of congress name authority file,University of California Press,http://id.loc.gov/authorities/names/n82118305, 1508
302,Tiffany and Company,,library of congress name authority file,Tiffany and Company,http://id.loc.gov/authorities/names/n80118439, 1509
303,Architectural Association (Great Britain),,library of congress name authority file,Architectural Association (Great Britain),http://id.loc.gov/authorities/names/n80089971, 1510
305,Courtauld Institute of Art,,library of congress name authority file,Courtauld Institute of Art,http://id.loc.gov/authorities/names/n50045627, 1511
306,"Gemäldegalerie (Dresden, Germany)",,library of congress name authority file,"Gemäldegalerie (Dresden, Germany)",http://id.loc.gov/authorities/names/n50065755, 1512
307,Great Britain. Royal Fine Art Commission,,library of congress name authority file,Great Britain. Royal Fine Art Commission,http://id.loc.gov/authorities/names/nr88006908, 1513
308,Jerusalem Committee,,library of congress name authority file,Jerusalem Committee,http://id.loc.gov/authorities/names/n84200633, 1514
309,Omega Workshops,,library of congress name authority file,Omega Workshops,http://id.loc.gov/authorities/names/n82131599, 1515
310,Penguin (Firm),,library of congress name authority file,Penguin (Firm),http://id.loc.gov/authorities/names/n50010791, 1516
311,University of Cambridge,,library of congress name authority file,University of Cambridge,http://id.loc.gov/authorities/names/n79018862, 1517
312,University of London,,library of congress name authority file,University of London,http://id.loc.gov/authorities/names/n79074298, 1518
313,University of Oxford,,library of congress name authority file,University of Oxford,http://id.loc.gov/authorities/names/n79095521, 1519
315,Peggy Guggenheim Collection,,library of congress name authority file,Peggy Guggenheim Collection,http://id.loc.gov/authorities/names/n83192968, 1520
316,C.H. Boehringer Sohn,,library of congress name authority file,C.H. Boehringer Sohn,http://id.loc.gov/authorities/names/n82022680, 1521
317,Deutsche Spiegelglas A.G.,,library of congress name authority file,Deutsche Spiegelglas A.G.,http://id.loc.gov/authorities/names/n82166700, 1522
319,Gesellschaft Deutscher Lichtbildner,,library of congress name authority file,Gesellschaft Deutscher Lichtbildner,http://id.loc.gov/authorities/names/n82255670, 1523
321,Museum Folkwang Essen,,library of congress name authority file,Museum Folkwang Essen,http://id.loc.gov/authorities/names/n50065358, 1524
322,Verlag Herder,,library of congress name authority file,Verlag Herder,http://id.loc.gov/authorities/names/n80152854, 1525
324,Deutsche Buch-Gemeinschaft,,library of congress name authority file,Deutsche Buch-Gemeinschaft,http://id.loc.gov/authorities/names/n95108793, 1526
325,Deutscher Werkbund Berlin,,library of congress name authority file,Deutscher Werkbund Berlin,http://id.loc.gov/authorities/names/n84238626, 1527
328,"Fagus-Werk (Alfeld, Lower Saxony, Germany)",,library of congress name authority file,"Fagus-Werk (Alfeld, Lower Saxony, Germany)",http://id.loc.gov/authorities/names/n98112857, 1528
329,Focal Press,,,Focal Press,http://id.loc.gov/authorities/names/no2011137851, 1529
331,"Krupp Stahl AG. Werk (Rheinhausen, Duisburg, Germany)",,library of congress name authority file,"Krupp Stahl AG. Werk (Rheinhausen, Duisburg, Germany)",http://id.loc.gov/authorities/names/n90663568, 1530
335,Photographische Gesellschaft in Wien,,library of congress name authority file,Photographische Gesellschaft in Wien,http://id.loc.gov/authorities/names/nr91026294, 1531
338,Staatliche Kunstakademie Düsseldorf,,library of congress name authority file,Staatliche Kunstakademie Düsseldorf,http://id.loc.gov/authorities/names/n82060134, 1532
339,Sydslesvigs danske kunstforening,,library of congress name authority file,Sydslesvigs danske kunstforening,http://id.loc.gov/authorities/names/n82134696, 1533
345,United States. Works Progress Administration,,library of congress name authority file,United States. Works Progress Administration,http://id.loc.gov/authorities/names/n81081809, 1534
346,United States. Office of War Information ,,library of congress name authority file,United States. Office of War Information ,http://id.loc.gov/authorities/names/n50062845, 1535
347,New York School of Art,,library of congress name authority file,New York School of Art,http://id.loc.gov/authorities/names/n00020504, 1536
352,"Schaeffer Galleries (New York, N.Y.)",,library of congress name authority file,"Schaeffer Galleries (New York, N.Y.)",http://id.loc.gov/authorities/names/nr2005014697, 1537
354,Teikoku Hoteru,,library of congress name authority file,Teikoku Hoteru,http://id.loc.gov/authorities/names/n82024268, 1538
356,Taliesin Fellowship,,library of congress name authority file,Taliesin Fellowship,http://id.loc.gov/authorities/names/n91031946, 1539
357,"Unitarian Universalist Church in Oak Park (Oak Park, Ill.) ",,library of congress name authority file,"Unitarian Universalist Church in Oak Park (Oak Park, Ill.) ",http://id.loc.gov/authorities/names/no2010137511, 1540
359,"Annunciation Greek Orthodox Church (Milwaukee, Wis.)",,library of congress name authority file,"Annunciation Greek Orthodox Church (Milwaukee, Wis.)",http://id.loc.gov/authorities/names/n85373363, 1541
361,"Wayfarers Chapel (Rancho Palos Verdes, Calif.) ",,library of congress name authority file,"Wayfarers Chapel (Rancho Palos Verdes, Calif.) ",http://id.loc.gov/authorities/names/n96056944, 1542
362,Frank Lloyd Wright Foundation,,library of congress name authority file,Frank Lloyd Wright Foundation,http://id.loc.gov/authorities/names/n50069788, 1543
363,"Sears, Roebuck and Company",,library of congress name authority file,"Sears, Roebuck and Company",http://id.loc.gov/authorities/names/n79129205, 1544
366,"Case Study House No. 9 (Los Angeles, Calif.)",,library of congress name authority file,"Case Study House No. 9 (Los Angeles, Calif.)",http://id.loc.gov/authorities/names/n98030235, 1545
392,Williams and Williams,,local,Williams and Williams,http://id.loc.gov/authorities/names/no2008160670, 1546
398,"Société des artistes indépendants (Paris, France)",,library of congress name authority file,"Société des artistes indépendants (Paris, France)",http://id.loc.gov/authorities/names/n81028938, 1547
401,Internationale situationniste,,library of congress name authority file,Internationale situationniste,http://id.loc.gov/authorities/names/n82163080, 1548
402,Soviet Union—Red Army,,ingest,Soviet Union—Red Army,http://id.loc.gov/authorities/names/n80126258, 1549
406,Committee to Defend America by Aiding the Allies,,library of congress name authority file,Committee to Defend America by Aiding the Allies,http://id.loc.gov/authorities/names/n93023784, 1550
408,Frick Collection,,library of congress name authority file,Frick Collection,http://id.loc.gov/authorities/names/n80044956, 1551
409,Barnes Foundation,,library of congress name authority file,Barnes Foundation,http://id.loc.gov/authorities/names/n81124896, 1552
410,M.H. De Young Memorial Museum ,,library of congress name authority file,M.H. De Young Memorial Museum ,http://id.loc.gov/authorities/names/n80051192, 1553
413,"Barbizon House (London, England)",,library of congress name authority file,"Barbizon House (London, England)",http://id.loc.gov/authorities/names/no2001066922, 1554
414,"French Gallery (London, England)",,library of congress name authority file,"French Gallery (London, England)",http://id.loc.gov/authorities/names/n83013587, 1555
415,Goupil Gallery,,library of congress name authority file,Goupil Gallery,http://id.loc.gov/authorities/names/n79024603, 1556
420,Cine Club del Uruguay,,library of congress name authority file,Cine Club del Uruguay,http://id.loc.gov/authorities/names/nr96006970, 1557
421,John Simon Guggenheim Memorial Foundation,,library of congress name authority file,John Simon Guggenheim Memorial Foundation,http://id.loc.gov/authorities/names/n50082525, 1558
422,Taller Torres-García,,library of congress name authority file,Taller Torres-García,http://id.loc.gov/authorities/names/n91052279, 1559
425,Gebr. Fretz (Firm),,library of congress name authority file,Gebr. Fretz (Firm),http://id.loc.gov/authorities/names/nr96027352, 1560
426,"New Museum of Contemporary Art (New York, N.Y.)",,library of congress name authority file,"New Museum of Contemporary Art (New York, N.Y.)",http://id.loc.gov/authorities/names/n84148196, 1561
427,Whitney Museum of American Art,,library of congress name authority file,Whitney Museum of American Art,http://id.loc.gov/authorities/names/n79032811, 1562
428,Merce Cunningham Dance Company,,library of congress name authority file,Merce Cunningham Dance Company,http://id.loc.gov/authorities/names/nr96001835, 1563
429,Museo Nacional de México,,library of congress name authority file,Museo Nacional de México,http://id.loc.gov/authorities/names/no88000455, 1564
430,Vienna International Exhibition (1873),,library of congress name authority file,Vienna International Exhibition (1873),http://id.loc.gov/authorities/names/n85085328, 1565
431,Vizetelly and Company (1850-1855),,library of congress name authority file,Vizetelly and Company (1850-1855),http://id.loc.gov/authorities/names/nr00000797, 1566
435,Pagnerre (Firm) ,,library of congress name authority file,Pagnerre (Firm) ,http://id.loc.gov/authorities/names/no2008082820, 1567
436,VKhUTEIN (Art School) ,,library of congress name authority file,VKhUTEIN (Art School) ,http://id.loc.gov/authorities/names/n97023135, 1568
437,International Congress for Modern Architecture,,,International Congress for Modern Architecture,http://id.loc.gov/authorities/names/n79089248, 1569
442,Alfred Schmela Galerie,,library of congress name authority file,Alfred Schmela Galerie,http://id.loc.gov/authorities/names/n97037588, 1570
443,"Galleria dell""Ariete",,library of congress name authority file,"Galleria dell""Ariete",http://id.loc.gov/authorities/names/nr99020738, 1571
451,Harrison Price Company,,library of congress name authority file,Harrison Price Company,http://id.loc.gov/authorities/names/n82206404, 1572
452,"Texaco, inc.",,library of congress name authority file,"Texaco, inc.",http://id.loc.gov/authorities/names/n79032259, 1573
