ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri,New_ID
293,"Albers, Anni",no2007050246,lcnaf,"Albers, Anni",http://id.loc.gov/authorities/names/n80063365,6024
1844,"Bayer, Herbert",,lcnaf,"Bayer, Herbert",http://id.loc.gov/authorities/names/n80078038,6025
1855,"Clemens, Roman",,lcnaf,"Clemens, Roman",http://id.loc.gov/authorities/names/n93042014,6026
4382,"Eisenstein, Sergei, 1898-1948",,library of congress name authority file,"Eisenstein, Sergei, 1898-1948",http://id.loc.gov/authorities/names/n79006562,6027
4383,"Frampton, Hollis, 1936-1984",,library of congress name authority file,"Frampton, Hollis, 1936-1984",http://id.loc.gov/authorities/names/n81015232,6028
4384,"Deren, Maya",,library of congress name authority file,"Deren, Maya",http://id.loc.gov/authorities/names/n83179417,6029
4724,"Pearlman, Judith",no95023269,lcnaf,"Pearlman, Judith",http://id.loc.gov/authorities/names/no95023269,
4725,"Allner, W. H. (Walter H.), 1909-2006",no2005050639,lcnaf,"Allner, W. H. (Walter H.), 1909-2006",http://id.loc.gov/authorities/names/no2005050639,
4726,"Feininger, T. Lux",n81098879,lcnaf,"Feininger, T. Lux",http://id.loc.gov/authorities/names/n81098879,
4728,"Gropius, Ise",n86143215,lcnaf,"Gropius, Ise",http://id.loc.gov/authorities/names/n86143215,
4729,"Muche, Georg, 1895-1987",n85043768,lcnaf,"Muche, Georg, 1895-1987",http://id.loc.gov/authorities/names/n85043768,
4730,"Nerdinger, Winfried",n82018298,lcnaf,"Nerdinger, Winfried",http://id.loc.gov/authorities/names/n82018298,
4731,"Püschel, Konrad, 1907-",n98017079,lcnaf,"Püschel, Konrad, 1907-",http://id.loc.gov/authorities/names/n98017079,
4732,"Stölzl, Gunta, 1897-1983",n87949471,library of congress name authority file,"Stölzl, Gunta, 1897-1983",http://id.loc.gov/authorities/names/n87949471,
4733,"Weininger, Andor, 1899-1986",nr91022623,library of congress name authority file,"Weininger, Andor, 1899-1986",http://id.loc.gov/authorities/names/nr91022623,
4734,"Weininger, Eva Fernbach, 1903-2007",n00006828,library of congress name authority file,"Weininger, Eva Fernbach, 1903-2007",http://id.loc.gov/authorities/names/n00006828,
5350,Voigt,,,Voigt,http://id.loc.gov/authorities/names/n85286149,6040
5358,"Sevruguin, Antoin, 1851-1933","Sevruguin, Antoin",lcnaf,"Sevruguin, Antoin, 1851-1933",http://id.loc.gov/authorities/names/n99037799,6041
5688,"Chapman, Edward Francis, 1840-1926",,lcnaf,"Chapman, Edward Francis, 1840-1926",http://id.loc.gov/authorities/names/no2017126904,6042
5681,"Schaur, Eda, 1945-",,library of congress name authority file,"Schaur, Eda, 1945-",http://id.loc.gov/authorities/names/n78052428,6043
5284,"White, Stephen, 1938-",,library of congress name authority file,"White, Stephen, 1938-",http://id.loc.gov/authorities/names/n87920010,6044
5285,"Penn, Irving",,library of congress name authority file,"Penn, Irving",http://id.loc.gov/authorities/names/n80086580,6045
5286,"Barnbaum, Bruce, 1943-",,library of congress name authority file,"Barnbaum, Bruce, 1943-",http://id.loc.gov/authorities/names/n88629758,6046
5287,"Hammarski√∂ld, Hans, 1925-",,library of congress name authority file,"Hammarski√∂ld, Hans, 1925-",http://id.loc.gov/authorities/names/n80067668,6047
4718,"Park, David",,,"Park, David",http://id.loc.gov/authorities/names/n80092532,6048
4719,"Strombotne, James",,,"Strombotne, James",http://id.loc.gov/authorities/names/n82257518,6049
5384,"Minns, Susan",,lcnaf,"Minns, Susan",http://id.loc.gov/authorities/names/nr97037728,6050
5354,"Ehlers-Kollwitz, Ottilie, 1900-1963",,library of congress name authority file,"Ehlers-Kollwitz, Ottilie, 1900-1963",http://id.loc.gov/authorities/names/no2014111534,6051
5385,"Kollwitz, Peter, 1896-1914",,lcnaf,"Kollwitz, Peter, 1896-1914",http://id.loc.gov/authorities/names/n2015003697,6052
5339,"Bonus, Beate, 1865-1954",,library of congress name authority file,"Bonus, Beate, 1865-1954",http://id.loc.gov/authorities/names/nr97030088,6053
5675,"Graupe, Paul, 1881-1953",,lcnaf,"Graupe, Paul, 1881-1953",http://id.loc.gov/authorities/names/nb2016010445,6054
5349,"Bohnke-Kollwitz, Jutta",,library of congress name authority file,"Bohnke-Kollwitz, Jutta",http://id.loc.gov/authorities/names/n84120075,6055
5361,"Beato, Antonio, -1903?",,lcnaf,"Beato, Antonio, -1903?",http://id.loc.gov/authorities/names/n86005235,6056
5362,"S√©bah, Pascal, 1823-1886",,lcnaf,"S√©bah, Pascal, 1823-1886",http://id.loc.gov/authorities/names/no2014073237,6057
5364,"Salzmann, Auguste",,lcnaf,"Salzmann, Auguste",http://id.loc.gov/authorities/names/nr98040549,6058
5673,"Lerner, Abe, 1908-2002",,lcnaf,"Lerner, Abe, 1908-2002",http://id.loc.gov/authorities/names/n79105608,6059
5344,"Schocken, Salman, 1877-1959",,library of congress name authority file,"Schocken, Salman, 1877-1959",http://id.loc.gov/authorities/names/n84066972,6060
5352,"Kallir, Otto, 1894-1978",,library of congress name authority file,"Kallir, Otto, 1894-1978",http://id.loc.gov/authorities/names/n80139169,6061
5343,"Goedeckemeyer, Helmut",,library of congress name authority file,"Goedeckemeyer, Helmut",http://id.loc.gov/authorities/names/n80087368,6062
5342,"Birkholz, Hermann",,library of congress name authority file,"Birkholz, Hermann",http://id.loc.gov/authorities/names/no2012071324,6063
5691,"Deyhle, Rolf",,lcnaf,"Deyhle, Rolf",http://id.loc.gov/authorities/names/n95024271,6064
