ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
2659,"Ellwood, Craig",,library of congress name authority file,"Ellwood, Craig",http://id.loc.gov/authorities/names/n87873083
2660,"Frey, Albert",,library of congress name authority file,"Frey, Albert",http://id.loc.gov/authorities/names/n84091222
2665,"Koenig, Pierre",,library of congress name authority file,"Koenig, Pierre",http://id.loc.gov/authorities/names/n86046856
2667,"László, Paul",,library of congress name authority file,"László, Paul",http://id.loc.gov/authorities/names/nr2004027448
2668,"Lee, S. Charles",,library of congress name authority file,"Lee, S. Charles",http://id.loc.gov/authorities/names/n83185430
2669,"Newsom, Joseph C.",,library of congress name authority file,"Newsom, Joseph C.",http://id.loc.gov/authorities/names/n78007426
2674,"Williams, Stewart",,library of congress name authority file,"Williams, Stewart",http://id.loc.gov/authorities/names/n50018988
2676,"Wurster, William Wilson",,library of congress name authority file,"Wurster, William Wilson",http://id.loc.gov/authorities/names/n82014592
2679,"Zabludovsky, Abraham",,library of congress name authority file,"Zabludovsky, Abraham",http://id.loc.gov/authorities/names/n88613307
2689,"Rousseau, Théodore",,library of congress name authority file,"Rousseau, Théodore",http://id.loc.gov/authorities/names/n2004025831
2691,"Guillemot, Maurice",,library of congress name authority file,"Guillemot, Maurice",http://id.loc.gov/authorities/names/nr90001980
2696,"Turpin, Georges",,,"Turpin, Georges",http://id.loc.gov/authorities/names/nr2007013880
2697,"Siqueiros, David Alfaro",,library of congress name authority file,"Siqueiros, David Alfaro",http://id.loc.gov/authorities/names/n50025574
2698,"Berdecio, Roberto",,library of congress name authority file,"Berdecio, Roberto",http://id.loc.gov/authorities/names/no2002055095
2702,"Blume, Peter",,library of congress name authority file,"Blume, Peter",http://id.loc.gov/authorities/names/no2008083436
2703,"Levy, Julien",,library of congress name authority file,"Levy, Julien",http://id.loc.gov/authorities/names/n50049139
2704,"Hartigan, Grace",,library of congress name authority file,"Hartigan, Grace",http://id.loc.gov/authorities/names/n81139681
2710,"Bukharin, Nikolai Ivanovich",,library of congress name authority file,"Bukharin, Nikolai Ivanovich",http://id.loc.gov/authorities/names/n86017400
2726,"Kramer, Hilton",,library of congress name authority file,"Kramer, Hilton",http://id.loc.gov/authorities/names/n79126824
2727,"Lehmann , Karl",,library of congress name authority file,"Lehmann , Karl",http://id.loc.gov/authorities/names/n90676183
2729,"Lotz, Wolfgang",,library of congress name authority file,"Lotz, Wolfgang",http://id.loc.gov/authorities/names/n82102286
2731,"Michelson, Annette",,library of congress name authority file,"Michelson, Annette",http://id.loc.gov/authorities/names/n79075211
2732,"Salmony, Alfred",,library of congress name authority file,"Salmony, Alfred",http://id.loc.gov/authorities/names/n92011817
2734,"Steindl, Josef",,,"Steindl, Josef",http://id.loc.gov/authorities/names/n2004099011
2737,"Heinemann, Rudolf J. ",,library of congress name authority file,"Heinemann, Rudolf J. ",http://id.loc.gov/authorities/names/n87150871
2742,"Gettens, Rutherford J. (Rutherford John)",,library of congress name authority file,"Gettens, Rutherford J. (Rutherford John)",http://id.loc.gov/authorities/names/no88005996
2743,"Munhall, Edgar",,library of congress name authority file,"Munhall, Edgar",http://id.loc.gov/authorities/names/n86102932
2746,"Stout, George L. (George Leslie) ",,library of congress name authority file,"Stout, George L. (George Leslie) ",http://id.loc.gov/authorities/names/no88005997
