INFO 2019-08-22 15:24:32,136   Name: Kennedy Galleries, locID: n79058452, {'status': 'Created', 'id': 1376, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1376', 'warnings': []}
INFO 2019-08-22 15:24:32,626   Name: Vose Galleries of Boston, locID: n85813791, {'status': 'Created', 'id': 1377, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1377', 'warnings': []}
INFO 2019-08-22 15:24:33,080   Name: Galerie Bonnier, locID: n85813086, {'status': 'Created', 'id': 1378, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1378', 'warnings': []}
INFO 2019-08-22 15:24:36,115   Name: Svensk-franska konstgalleriet (Stockholm, Sweden) , locID: no93021466, {'status': 'Created', 'id': 1379, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1379', 'warnings': []}
INFO 2019-08-22 15:24:40,125   Name: Galerie Durand-Ruel, locID: n50058608, {'status': 'Created', 'id': 1380, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1380', 'warnings': []}
INFO 2019-08-22 15:24:44,165   Name: Galerie Louis Carré, locID: n81119781, {'status': 'Created', 'id': 1381, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1381', 'warnings': []}
INFO 2019-08-22 15:24:48,129   Name: Musèe Rodin, locID: n50054666, {'status': 'Created', 'id': 1382, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1382', 'warnings': []}
INFO 2019-08-22 15:24:52,151   Name: Arnoldo Mondadori editore, locID: n50005113, {'status': 'Created', 'id': 1383, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1383', 'warnings': []}
INFO 2019-08-22 15:24:56,169   Name: Bompiani (Firm), locID: n81084621, {'status': 'Created', 'id': 1384, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1384', 'warnings': []}
INFO 2019-08-22 15:25:00,126   Name: Beaulieu Abbey, locID: n50077068, {'status': 'Created', 'id': 1385, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1385', 'warnings': []}
INFO 2019-08-22 15:25:01,105   Name: St. Mary's Hospital (Chichester, England), locID: nb2017022504, {'status': 'Created', 'id': 1386, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1386', 'warnings': []}
