INFO 2019-08-27 09:50:31,093   {'status': 'OK'},146,6098,Bayle, Luc Marie
INFO 2019-08-27 09:50:44,040   {'status': 'OK'},150,6099,Beuville
INFO 2019-08-27 09:51:00,041   {'status': 'OK'},152,6100,Bouygues, L.
INFO 2019-08-27 09:51:12,544   {'status': 'OK'},153,6101,Bresson, R.
INFO 2019-08-27 09:51:26,064   {'status': 'OK'},158,6102,Charaire, E.
INFO 2019-08-27 09:51:42,057   {'status': 'OK'},160,6103,Clérice, Charles
INFO 2019-08-27 09:51:58,176   {'status': 'OK'},162,6104,Colin, Paul
INFO 2019-08-27 09:52:12,096   {'status': 'OK'},165,6105,Aquisti, Danilo
INFO 2019-08-27 09:52:26,109   {'status': 'OK'},172,6106,Dransy, Naja
INFO 2019-08-27 09:52:40,126   {'status': 'OK'},176,6107,Fort, Jean
INFO 2019-08-27 09:52:54,114   {'status': 'OK'},185,6108,Lajoux, Edmond
INFO 2019-08-27 09:53:06,653   {'status': 'OK'},189,6109,Levin
INFO 2019-08-27 09:53:20,054   {'status': 'OK'},206,6110,Régamey, Frédéric
INFO 2019-08-27 09:53:34,147   {'status': 'OK'},211,6111,Santos
INFO 2019-08-27 09:53:50,168   {'status': 'OK'},212,6112,Saunier, J.
INFO 2019-08-27 09:54:04,639   {'status': 'OK'},214,6113,Tournaire, Albert
INFO 2019-08-27 09:54:22,221   {'status': 'OK'},228,6114,Flandrin
INFO 2019-08-27 09:54:36,196   {'status': 'OK'},244,6115,Asso, Raymond
INFO 2019-08-27 09:54:50,202   {'status': 'OK'},246,6116,Borel-Clerc, Charles
INFO 2019-08-27 09:55:08,168   {'status': 'OK'},249,6117,Cohn, Irving
INFO 2019-08-27 09:55:22,132   {'status': 'OK'},255,6118,Ferréol, Roger
INFO 2019-08-27 09:55:36,118   {'status': 'OK'},256,6119,Gay, Byron
INFO 2019-08-27 09:55:50,124   {'status': 'OK'},258,6120,Hilliard, Bob
INFO 2019-08-27 09:56:02,658   {'status': 'OK'},260,6121,Ithier, Hubert
INFO 2019-08-27 09:56:16,081   {'status': 'OK'},264,6122,Koger, Geo.
INFO 2019-08-27 09:56:30,096   {'status': 'OK'},265,6123,Larue, Jacques
INFO 2019-08-27 09:56:44,107   {'status': 'OK'},266,6124,Lecuona, Margarita
INFO 2019-08-27 09:57:01,201   {'status': 'OK'},267,6125,Ledru, Jack
INFO 2019-08-27 09:57:14,163   {'status': 'OK'},268,6126,Lemarchand, Louis
INFO 2019-08-27 09:57:28,212   {'status': 'OK'},270,6127,Monnot, Marguerite
INFO 2019-08-27 09:57:42,222   {'status': 'OK'},274,6128,Russell, Bob
INFO 2019-08-27 09:57:58,230   {'status': 'OK'},275,6129,Saint-Granier
INFO 2019-08-27 09:58:14,232   {'status': 'OK'},276,6130,Sigman, Carl
INFO 2019-08-27 09:58:28,227   {'status': 'OK'},283,6131,Baird, Joseph Armstrong
INFO 2019-08-27 09:58:42,243   {'status': 'OK'},286,6132,Banham, Reyner
INFO 2019-08-27 09:58:56,242   {'status': 'OK'},287,6133,Herron, Ron
INFO 2019-08-27 09:59:12,198   {'status': 'OK'},290,6134,Rogers, Richard George
INFO 2019-08-27 09:59:26,183   {'status': 'OK'},291,6135,Price, Cedric
INFO 2019-08-27 09:59:40,059   {'status': 'OK'},292,6136,Waterhouse, Alan
INFO 2019-08-27 09:59:54,135   {'status': 'OK'},296,6137,Borchers, Heinz
INFO 2019-08-27 10:00:08,144   {'status': 'OK'},298,6138,Elsaesser, Martin
INFO 2019-08-27 10:00:22,044   {'status': 'OK'},304,6139,Krüger, Helmut
INFO 2019-08-27 10:00:36,069   {'status': 'OK'},307,6140,Loew, Heinz
INFO 2019-08-27 10:00:54,062   {'status': 'OK'},308,6141,Meyer, Hannes
INFO 2019-08-27 10:01:08,140   {'status': 'OK'},309,6142,Meyer-Bergner, Lena
INFO 2019-08-27 10:01:22,151   {'status': 'OK'},310,6143,Michel, Robert
INFO 2019-08-27 10:01:36,200   {'status': 'OK'},311,6144,Moholy, Lucia
INFO 2019-08-27 10:01:52,161   {'status': 'OK'},318,6145,Schmidt, Arthur
INFO 2019-08-27 10:02:06,645   {'status': 'OK'},332,6146,Dieckmann, Erich
INFO 2019-08-27 10:02:20,488   {'status': 'OK'},335,6147,Hilberseimer, Ludwig
INFO 2019-08-27 10:02:36,152   {'status': 'OK'},344,6148,Köster, Arthur
INFO 2019-08-27 10:02:50,124   {'status': 'OK'},345,6149,Lang, Lothar
INFO 2019-08-27 10:03:02,651   {'status': 'OK'},347,6150,Marx, Gerda
INFO 2019-08-27 10:03:15,110   {'status': 'OK'},356,6151,Weber, Vincent
INFO 2019-08-27 10:03:27,564   {'status': 'OK'},358,6152,Weiss, Ursula
INFO 2019-08-27 10:03:40,093   {'status': 'OK'},362,6153,Ehrhardt, Alfred
INFO 2019-08-27 10:03:52,555   {'status': 'OK'},364,6154,Bloch, E. Maurice
INFO 2019-08-27 10:04:05,082   {'status': 'OK'},368,6155,West, Benjamin
INFO 2019-08-27 10:04:17,541   {'status': 'OK'},373,6156,Maxwell, George T.
INFO 2019-08-27 10:04:30,172   {'status': 'OK'},375,6157,Zapf, Hermann
INFO 2019-08-27 10:04:42,660   {'status': 'OK'},386,6158,Nyst, Ray
INFO 2019-08-27 10:04:56,030   {'status': 'OK'},388,6159,Russolo, Luigi
INFO 2019-08-27 10:05:10,112   {'status': 'OK'},391,6160,Sprovieri, Paolo
INFO 2019-08-27 10:05:24,089   {'status': 'OK'},396,6161,Courthion, Pierre
INFO 2019-08-27 10:05:38,096   {'status': 'OK'},410,6162,Abba, Marta
INFO 2019-08-27 10:05:52,101   {'status': 'OK'},414,6163,Falqui, Enrico
INFO 2019-08-27 10:06:06,094   {'status': 'OK'},415,6164,Frank, Nino
INFO 2019-08-27 10:06:22,073   {'status': 'OK'},418,6165,Graf, A.
INFO 2019-08-27 10:06:38,078   {'status': 'OK'},428,6166,Ortese, Anna Maria
